Id,Player Image,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,Team Logo
139,https://scores.iplt20.com/ipl/playerimages/Anmolpreet%20Singh.png?v=1,Anmolpreet Singh,SRH,5,2,2,0,5,2.5,6,83.33,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1
140,https://scores.iplt20.com/ipl/playerimages/Noor%20Ahmad.png?v=1,Noor Ahmad,GT,5,10,4,2,4,2.5,9,55.55,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1
141,https://scores.iplt20.com/ipl/playerimages/Arshdeep%20Singh.png?v=1,Arshdeep Singh,PBKS,4,14,1,0,4,4,3,133.33,0,0,1,0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?v=1
142,https://scores.iplt20.com/ipl/playerimages/Akash%20Madhwal.png?v=1,Akash Madhwal,MI,4,5,1,1,4,-,5,80,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1
143,https://scores.iplt20.com/ipl/playerimages/Matthew%20Wade.png?v=1,Matthew Wade,GT,4,2,1,0,4,4,6,66.66,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1
144,https://scores.iplt20.com/ipl/playerimages/Ravi%20Bishnoi.png?v=1,Ravi Bishnoi,LSG,4,14,3,0,2,1.33,6,66.66,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1
145,https://scores.iplt20.com/ipl/playerimages/Anrich%20Nortje.png?v=1,Anrich Nortje,DC,4,6,2,0,4,2,8,50,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1
146,https://scores.iplt20.com/ipl/playerimages/Mohit%20Sharma.png?v=1,Mohit Sharma,GT,4,12,3,1,4,2,15,26.66,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1
147,https://scores.iplt20.com/ipl/playerimages/Anukul%20Roy.png?v=1,Anukul Roy,KKR,3,4,1,1,3,-,3,100,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?v=1
148,https://scores.iplt20.com/ipl/playerimages/Reece%20Topley.png?v=1,Reece Topley,RCB,3,4,1,1,3,-,6,50,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1
149,https://scores.iplt20.com/ipl/playerimages/Kumar%20Kushagra.png?v=1,Kumar Kushagra,DC,3,4,3,0,2,1,7,42.85,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1
150,https://scores.iplt20.com/ipl/playerimages/Mukesh%20Kumar.png?v=1,Mukesh Kumar,DC,3,10,2,1,3,3,9,33.33,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1
151,https://scores.iplt20.com/ipl/playerimages/Ricky%20Bhui.png?v=1,Ricky Bhui,DC,3,2,2,0,3,1.5,9,33.33,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1
152,https://scores.iplt20.com/ipl/playerimages/Mohsin%20Khan.png?v=1,Mohsin Khan,LSG,2,9,1,0,2,2,1,200,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1
153,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,Richard Gleeson,CSK,2,2,1,1,2,-,2,100,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1
154,https://scores.iplt20.com/ipl/playerimages/Jhye%20Richardson.png?v=1,Jhye Richardson,DC,2,1,1,0,2,2,2,100,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1
155,https://scores.iplt20.com/ipl/playerimages/Anshul%20Kamboj.png?v=1,Anshul Kamboj,MI,2,3,1,1,2,-,2,100,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1
156,https://scores.iplt20.com/ipl/playerimages/Akash%20Deep.png?v=1,Akash Deep,RCB,2,1,1,1,2,-,2,100,0,0,0,0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1
